player_id,mode,signal_type,frame_number,code,notes,num_code,,survey comparison,,,
5ee6d2494fd04045b988a12d,1,up,165,[1],,[1],,"said it was doing a good job of shooting enemies; doesn't mention 3,7,8,9",,,
5ee6d2494fd04045b988a12d,1,up,480,[1],,[1],,no actual down presses even though it said shooting at blank spaces,,,
5ee6d2494fd04045b988a12d,1,up,708,[11],11?,[],,,,,
5ee6d2494fd04045b988a12d,1,up,1145,[1],,[1],,,,,
5ee6d2494fd04045b988a12d,1,up,1621,[1],,[1],,,,,
5ee6d2494fd04045b988a12d,1,up,2530,[1],,[1],,,,,
5ee6d2494fd04045b988a12d,1,up,2922,"[1,8]",,"[1, 8]",,,,,
5ee6d2494fd04045b988a12d,1,up,3115,"[1,7,9]",,"[1, 7, 9]",,,,,
5ee6d2494fd04045b988a12d,2,up,150,[1],,[1],,same as above,,,
5ee6d2494fd04045b988a12d,2,up,376,[1],,[1],,,,,
5ee6d2494fd04045b988a12d,2,up,914,[1],,[1],,,,,
5ee6d2494fd04045b988a12d,2,up,2342,"[1,2,8,9]",,"[2, 1, 8, 9]",,,,,
60d520539b147c4acaf44b77,1,up,35,"[1,10]",1 is unclear,[],,,,,
60d520539b147c4acaf44b77,1,down,312,"[10,11]",,[],,"""teammate was in my area"" - yes; said teammate should wait till its done with its enemies, makes sense with the presses",,,
60d520539b147c4acaf44b77,1,down,682,"[2, 18]",,[2],,"up - ""shooting"" yes",,,
60d520539b147c4acaf44b77,1,up,1064,[1],,[1],,,,,
60d520539b147c4acaf44b77,1,down,1361,"[2, 18]",,[],,,,,
60d520539b147c4acaf44b77,1,up,1797,"[1,6]",,[1],,,,,
60d520539b147c4acaf44b77,1,up,2252,"[1,7,9]",,"[1, 7]",,,,,
60d520539b147c4acaf44b77,2,up,165,[1],,[1],,,,,
60d520539b147c4acaf44b77,2,up,574,[1],,[1],,,,,
60d520539b147c4acaf44b77,2,up,845,[1],,[1],,,,,
60d520539b147c4acaf44b77,2,up,1297,[1],,[1],,,,,
60d520539b147c4acaf44b77,2,up,1703,"[1,7,9]",,"[1, 7]",,,,,
60e5e62659dc1912bc43ed35,1,up,181,[1],,[1],,"The one awkward moment near the start of the game, he stopped shooting the enemies and moved in the middle of the screen. Then he just came to my side and started shooting my enemies when he had plenty of his own left.","Make him finish his own enemies first before helping, unless I am REALLY struggling on my side.",,
60e5e62659dc1912bc43ed35,1,up,298,[1],,[1],,Down presses checks out with above,,,
60e5e62659dc1912bc43ed35,1,up,621,[11],11?,[],,up press is just for shooting enemies,,,
60e5e62659dc1912bc43ed35,1,down,732,"[5,2, 18]",2? right after previous,"[2, 5]",,,,,
