player_id,mode,signal_type,frame_number,code,notes,num_code
5ee6d2494fd04045b988a12d,1,up,165,[1],,[1]
5ee6d2494fd04045b988a12d,1,up,480,[1],,[1]
5ee6d2494fd04045b988a12d,1,up,708,[3],,[]
5ee6d2494fd04045b988a12d,1,up,1145,[1],,[1]
5ee6d2494fd04045b988a12d,1,up,1621,[1],,[1]
5ee6d2494fd04045b988a12d,1,up,2530,[1],,[1]
5ee6d2494fd04045b988a12d,1,up,2922,"[1,8]",,"[1, 8]"
5ee6d2494fd04045b988a12d,1,up,3115,"[1,7,9]",,"[1, 7, 9]"
5ee6d2494fd04045b988a12d,2,up,150,[1],,[1]
5ee6d2494fd04045b988a12d,2,up,376,[1],,[1]
5ee6d2494fd04045b988a12d,2,up,914,[1],,[1]
5ee6d2494fd04045b988a12d,2,up,2342,"[1,2,8,9]",,"[2, 1, 8, 9]"
60d520539b147c4acaf44b77,1,up,35,"[1,4]",1 is unclear,[]
60d520539b147c4acaf44b77,1,down,312,"[10,11]",,[]
60d520539b147c4acaf44b77,1,down,682,[2],,[2]
60d520539b147c4acaf44b77,1,up,1064,[1],,[1]
60d520539b147c4acaf44b77,1,down,1361,[2],,[]
60d520539b147c4acaf44b77,1,up,1797,"[1,6]",,[1]
60d520539b147c4acaf44b77,1,up,2252,"[1,7,9]",,"[1, 7]"
60d520539b147c4acaf44b77,2,up,165,[1],,[1]
60d520539b147c4acaf44b77,2,up,574,[1],,[1]
60d520539b147c4acaf44b77,2,up,845,[1],,[1]
60d520539b147c4acaf44b77,2,up,1297,[1],,[1]
60d520539b147c4acaf44b77,2,up,1703,"[1,7,9]",,"[1, 7]"
60e5e62659dc1912bc43ed35,1,up,181,[1],,[1]
60e5e62659dc1912bc43ed35,1,up,298,[1],,[1]
60e5e62659dc1912bc43ed35,1,up,621,[11],11?,[]
60e5e62659dc1912bc43ed35,1,down,732,"[5,2]",2? right after previous,"[2, 5]"
60e5e62659dc1912bc43ed35,1,down,859,[16],11? Could be a momentum click from last press,[]
60e5e62659dc1912bc43ed35,1,up,959,"[1,6]",,[1]
60e5e62659dc1912bc43ed35,1,up,1202,[1],,[1]
60e5e62659dc1912bc43ed35,1,down,1909,"[2,5,14]",,"[2, 5]"
60e5e62659dc1912bc43ed35,1,down,2016,"[2,5,14]",,"[2, 5, 12, 14]"
60e5e62659dc1912bc43ed35,2,up,69,[1],,[1]
60e5e62659dc1912bc43ed35,2,up,348,[1],,[1]
60e5e62659dc1912bc43ed35,2,up,712,[1],,[1]
60e5e62659dc1912bc43ed35,2,up,817,[1],,[1]
60e5e62659dc1912bc43ed35,2,up,917,[1],not captured in video frames,[1]
60e5e62659dc1912bc43ed35,2,up,1084,[1],,[1]
60e5e62659dc1912bc43ed35,2,up,1499,[1],,[]
60e5e62659dc1912bc43ed35,2,up,1688,[1],,[1]
60e5e62659dc1912bc43ed35,2,up,1959,"[1,7]",,"[1, 7]"
60e5e62659dc1912bc43ed35,2,up,2358,[2],,[]
60e7a66b2cb32cc90fade4e6,1,down,217,"[2,5]",,[2]
60e7a66b2cb32cc90fade4e6,1,down,668,[12],,"[4, 12]"
60e7a66b2cb32cc90fade4e6,2,up,90,[1],,[1]
